epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.0638,3.22767,0.05515,0.22059,3.32227,3.45e-06,3.45e-06,3.45e-06
2,17.6394,3.23428,0.05515,0.22426,3.3125,1.03158e-05,1.03158e-05,1.03158e-05
3,20.3182,3.2053,0.05882,0.22426,3.29102,1.71361e-05,1.71361e-05,1.71361e-05
4,22.9521,3.15393,0.08456,0.24632,3.25195,2.39109e-05,2.39109e-05,2.39109e-05
5,25.956,3.11332,0.09926,0.29779,3.19336,3.06401e-05,3.06401e-05,3.06401e-05
6,29.076,3.05326,0.11029,0.34559,3.10742,3.73238e-05,3.73238e-05,3.73238e-05
7,32.8148,2.97639,0.13235,0.42647,2.98633,4.3962e-05,4.3962e-05,4.3962e-05
8,35.7208,2.89193,0.17647,0.50735,2.83789,5.05546e-05,5.05546e-05,5.05546e-05
9,38.6371,2.79085,0.23529,0.56985,2.67383,5.71016e-05,5.71016e-05,5.71016e-05
10,41.881,2.67336,0.27206,0.59191,2.50195,6.36032e-05,6.36032e-05,6.36032e-05
11,44.8392,2.54209,0.29412,0.68015,2.33008,7.00591e-05,7.00591e-05,7.00591e-05
12,48.2695,2.39588,0.34191,0.70221,2.16406,7.64696e-05,7.64696e-05,7.64696e-05
13,63.3216,2.27394,0.40441,0.73162,1.99121,8.28345e-05,8.28345e-05,8.28345e-05
14,66.2826,2.16669,0.45956,0.75368,1.81641,8.91539e-05,8.91539e-05,8.91539e-05
15,69.3075,1.9893,0.51838,0.79779,1.65723,9.54277e-05,9.54277e-05,9.54277e-05
16,72.3544,1.8536,0.56618,0.87132,1.52539,0.000101656,0.000101656,0.000101656
17,91.8054,1.71385,0.625,0.91544,1.42578,0.000107839,0.000107839,0.000107839
18,94.7231,1.58667,0.6875,0.93382,1.30469,0.000113976,0.000113976,0.000113976
19,97.4008,1.47846,0.73162,0.94118,1.16895,0.000120068,0.000120068,0.000120068
20,100.215,1.32988,0.75,0.95221,1.03809,0.000126114,0.000126114,0.000126114
21,112.837,1.17916,0.76838,0.95221,0.92041,0.000132114,0.000132114,0.000132114
22,115.709,1.04595,0.82353,0.96324,0.80615,0.000138069,0.000138069,0.000138069
23,118.649,0.93883,0.84926,0.98162,0.64209,0.000143979,0.000143979,0.000143979
24,121.27,0.80304,0.88603,0.98529,0.47339,0.000149843,0.000149843,0.000149843
25,134.057,0.6876,0.92647,0.98897,0.36938,0.000155661,0.000155661,0.000155661
26,137.06,0.57242,0.9375,0.98897,0.29419,0.000161434,0.000161434,0.000161434
27,139.952,0.52669,0.94485,0.99265,0.24304,0.000167161,0.000167161,0.000167161
28,142.734,0.42073,0.96324,1,0.20361,0.000172843,0.000172843,0.000172843
29,155.521,0.41465,0.96324,1,0.18396,0.00017848,0.00017848,0.00017848
30,158.41,0.39269,0.96324,1,0.1792,0.00018407,0.00018407,0.00018407
31,161.327,0.37386,0.94853,1,0.19568,0.000189615,0.000189615,0.000189615
32,163.646,0.36061,0.95221,1,0.19385,0.000195115,0.000195115,0.000195115
33,175.701,0.28941,0.96324,0.99632,0.18909,0.000200569,0.000200569,0.000200569
34,178.17,0.321,0.96324,0.99632,0.18262,0.000205978,0.000205978,0.000205978
35,180.551,0.28828,0.95956,1,0.15356,0.000211341,0.000211341,0.000211341
36,183.064,0.3019,0.96691,1,0.14893,0.000216658,0.000216658,0.000216658
37,195.853,0.2605,0.97059,1,0.14832,0.00022193,0.00022193,0.00022193
38,198.901,0.24078,0.98162,1,0.12988,0.000227157,0.000227157,0.000227157
39,201.756,0.28048,0.98162,1,0.12891,0.000232337,0.000232337,0.000232337
40,204.415,0.29553,0.98162,0.99632,0.13123,0.000237473,0.000237473,0.000237473
41,216.257,0.26723,0.96691,0.99632,0.16724,0.000242563,0.000242563,0.000242563
42,218.601,0.26159,0.96324,0.99632,0.17517,0.000247607,0.000247607,0.000247607
43,220.885,0.24428,0.96324,0.99632,0.1748,0.000252606,0.000252606,0.000252606
44,223.14,0.27258,0.96691,0.99632,0.16711,0.000257559,0.000257559,0.000257559
45,235.662,0.26357,0.96324,1,0.16174,0.000262466,0.000262466,0.000262466
46,237.917,0.26703,0.95221,1,0.17896,0.000267328,0.000267328,0.000267328
47,240.202,0.28697,0.94118,1,0.1864,0.000272145,0.000272145,0.000272145
48,242.459,0.23536,0.93382,0.99632,0.25098,0.000276916,0.000276916,0.000276916
49,255.234,0.21097,0.88603,0.99632,0.36475,0.000281641,0.000281641,0.000281641
50,257.585,0.2709,0.96691,0.99632,0.1709,0.000286321,0.000286321,0.000286321
51,259.902,0.21114,0.96691,0.99632,0.17651,0.000288075,0.000288075,0.000288075
52,262.173,0.29857,0.96691,1,0.19751,0.000286936,0.000286936,0.000286936
53,274.605,0.23048,0.96691,1,0.19946,0.000285798,0.000285798,0.000285798
54,277.012,0.26325,0.94485,1,0.25171,0.000284659,0.000284659,0.000284659
55,279.427,0.22178,0.95956,1,0.20618,0.000283521,0.000283521,0.000283521
56,281.714,0.24652,0.94118,1,0.25244,0.000282382,0.000282382,0.000282382
57,294.013,0.22241,0.96324,1,0.20667,0.000281244,0.000281244,0.000281244
58,296.28,0.23041,0.95956,0.99632,0.20947,0.000280106,0.000280106,0.000280106
